YY,MM,DD,HH,HF,RAINC,Q2,T2,U10,V10,SWDOWN,PSFC,SST,CLDFRA
2020,12,25,3,8,0.0,0.0129198,19.26,2.4157572,5.5163503,760.6407,101032.99,292.18826,0.0
2020,12,25,4,9,0.0,0.012875853,19.2,2.418041,5.4857907,548.671,100957.266,292.18826,0.0
2020,12,25,5,10,0.0,0.012852435,19.16,1.969578,5.177995,299.35696,101019.67,292.2797,0.0
2020,12,25,6,11,0.0,0.012828605,19.11,1.5153216,4.8527374,51.75868,101083.234,292.2797,0.0
2020,12,25,7,12,0.0,0.012853579,19.11,1.0690334,4.5376754,0.0,101146.82,292.2797,0.0
2020,12,25,8,13,0.0,0.012775185,18.96,0.4378023,4.5562105,0.0,101229.55,291.99738,0.60816514
2020,12,25,9,14,0.0,0.012772681,18.94,-0.16825293,4.718738,0.0,101312.47,291.99738,0.0
2020,12,25,10,15,0.0,0.012771869,18.91,-0.780746,4.884708,0.0,101395.39,291.99738,0.0
2020,12,25,11,16,0.0,0.012668706,18.72,-0.28137764,5.350275,0.0,101348.234,291.69293,0.0
2020,12,25,12,17,0.0,0.01266323,18.67,0.21921869,5.954222,0.0,101300.0,291.69293,0.0
2020,12,25,13,18,0.0,0.012664384,18.63,0.73054355,6.561751,0.0,101251.93,291.69293,8.42206
2020,12,25,14,19,0.0,0.012662512,18.63,0.9787453,6.1931596,0.0,101217.13,291.72076,15.839909
2020,12,25,15,20,0.0,0.01264786,18.61,1.223839,5.8039193,0.0,101182.305,291.72076,33.333332
2020,12,25,16,21,0.0,0.012630661,18.59,1.4691087,5.4129148,0.0,101147.625,291.72076,18.672152
2020,12,25,17,22,0.0,0.012630778,18.62,1.4407643,5.6576543,0.0,101193.586,291.7219,33.333332
2020,12,25,18,23,0.0,0.012629222,18.64,1.4100195,5.9061522,0.0,101240.445,291.7219,33.333332
2020,12,25,19,0,0.0,0.0126269385,18.66,1.3795693,6.15465,16.703772,101287.47,291.7219,33.333332
2020,12,25,20,1,0.0,0.01264699,18.68,0.8395994,6.421273,121.47503,101354.25,291.71713,33.333332
2020,12,25,21,2,0.0,0.012685725,18.73,0.29775462,6.7096534,326.88177,101420.65,291.71713,33.333332
2020,12,25,22,3,0.0,0.012740315,18.79,-0.24682795,7.014697,542.38165,101487.63,291.71713,33.333332
2020,12,25,23,4,0.0,0.012863759,18.96,0.20086454,6.663077,819.2209,101420.125,291.92084,33.333332
2020,12,26,0,5,0.0,0.012938227,19.06,0.6623432,6.2576838,958.4966,101351.97,291.92084,11.540315
2020,12,26,1,6,0.0,0.01298509,19.13,1.1258576,5.8393373,880.7261,101284.13,291.92084,33.333332
2020,12,26,2,7,0.0,0.013040897,19.21,1.2532377,5.5284777,777.9579,101221.94,292.09604,34.95162
2020,12,26,3,8,0.0,0.01302132,19.2,1.3748463,5.2033763,649.5447,101159.695,292.09604,34.010696
2020,12,26,4,9,0.0,0.012979192,19.17,1.4946575,4.872419,490.38242,101097.5,292.09604,33.333332
2020,12,26,5,10,0.0,0.012951515,19.14,1.7583154,4.8174114,273.34558,101111.58,292.22705,33.333332
2020,12,26,6,11,0.0,0.012896032,19.06,2.0119972,4.7423186,17.364195,101126.58,292.22705,33.333332
2020,12,26,7,12,0.0,0.012899461,19.06,2.2723825,4.690203,0.0,101141.62,292.22705,33.333332
2020,12,26,8,13,0.0,0.012815176,18.95,1.6839104,4.571496,0.0,101237.54,291.95975,1.9344053
2020,12,26,9,14,0.0,0.012816381,18.96,1.1500269,4.567444,0.0,101334.664,291.95975,0.68243456
2020,12,26,10,15,0.0,0.012818251,18.97,0.62232184,4.5662694,0.0,101431.79,291.95975,0.0
2020,12,26,11,16,0.0,0.012762298,18.84,0.73024905,4.639412,0.0,101399.62,291.78137,0.0
2020,12,26,12,17,0.0,0.012765503,18.8,0.8558163,4.7893653,0.0,101366.35,291.78137,0.0
2020,12,26,13,18,0.0,0.012768822,18.75,0.983346,4.9397087,0.0,101333.09,291.78137,0.0
2020,12,26,14,19,0.0,0.012741519,18.69,1.0183094,5.3608994,0.0,101299.96,291.71948,0.0
2020,12,26,15,20,0.0,0.012734989,18.65,1.0565755,5.8088217,0.0,101266.79,291.71948,0.0
2020,12,26,16,21,0.0,0.01272869,18.62,1.0938396,6.2546287,0.0,101233.66,291.71948,0.0
2020,12,26,17,22,0.0,0.012756437,18.66,0.8843199,6.08839,0.0,101286.09,291.79147,0.0
2020,12,26,18,23,0.0,0.012760101,18.66,0.66861045,5.8886666,0.0,101339.234,291.79147,0.0
2020,12,26,19,0,0.0,0.012766227,18.67,0.4540606,5.691908,101.76789,101392.375,291.79147,0.0
2020,12,26,20,1,0.0,0.012785571,18.73,0.63742065,5.455465,356.3006,101421.414,291.77448,0.0
2020,12,26,21,2,0.0,0.01283755,18.84,0.830943,5.260479,599.4002,101450.23,291.77448,0.0
2020,12,26,22,3,0.0,0.012908033,18.97,1.0260044,5.053287,800.3012,101479.01,291.77448,0.0
2020,12,26,23,4,0.0,0.013062249,19.19,1.1818728,4.9996943,941.3932,101414.87,291.97903,0.0
2020,12,27,0,5,0.0,0.013148986,19.32,1.3329316,4.9211655,1010.91486,101349.88,291.97903,0.0
2020,12,27,1,6,0.0,0.0132137425,19.43,1.4833491,4.8375373,1003.2398,101284.93,291.97903,0.0
2020,12,27,2,7,0.0,0.013388314,19.61,1.9955188,4.910276,918.9504,101198.25,292.39148,0.0
2020,12,27,3,8,0.0,0.013372841,19.59,2.5032165,4.963569,764.6976,101111.37,292.39148,0.0
2020,12,27,4,9,0.0,0.013306047,19.5,3.0032933,5.0059986,553.1758,101024.5,292.39148,0.0
2020,12,27,5,10,0.0,0.013243073,19.4,2.4441428,4.8477874,303.6973,101064.44,292.5276,0.0
2020,12,27,6,11,0.0,0.013180769,19.29,1.8751789,4.6773834,54.67363,101105.44,292.5276,0.0
2020,12,27,7,12,0.0,0.013177105,19.25,1.3173093,4.5247426,0.0,101146.44,292.5276,0.0
2020,12,27,8,13,0.0,0.013055637,19.12,0.9220646,4.4608965,0.0,101243.38,292.2174,0.0
2020,12,27,9,14,0.0,0.013023135,19.11,0.5628012,4.5195885,0.0,101340.77,292.2174,0.0
2020,12,27,10,15,0.0,0.012990943,19.1,0.20290682,4.5797544,0.0,101438.18,292.2174,0.0
2020,12,27,11,16,0.0,0.012835399,18.84,0.15349667,4.7051916,0.0,101402.734,291.7608,1.8305484
2020,12,27,12,17,0.0,0.012832818,18.8,0.11452855,5.0412164,0.0,101366.19,291.7608,7.9061184
2020,12,27,13,18,0.0,0.012830623,18.75,0.07442214,5.377141,0.0,101329.664,291.7608,18.726965
2020,12,27,14,19,0.0,0.0128244,18.75,-0.025785938,5.4730654,0.0,101290.695,291.80704,45.784443
2020,12,27,15,20,0.0,0.012801092,18.72,-0.12781009,5.5467234,0.0,101251.836,291.80704,66.666664
2020,12,27,16,21,0.0,0.012777161,18.69,-0.23083946,5.6201463,0.0,101213.086,291.80704,66.666664
2020,12,27,17,22,0.0,0.012737952,18.71,-0.13553366,5.741668,0.0,101250.0,291.80237,66.666664
2020,12,27,18,23,0.0,0.012700444,18.73,-0.039010298,5.8661594,0.0,101287.28,291.80237,66.666664
2020,12,27,19,0,0.0,0.012663552,18.75,0.057194542,5.9915347,19.722164,101324.66,291.80237,66.666664
